"","identifier","chromosome_name","start_position","end_position","strand","ensembl_gene_id","hgnc_symbol"
"1","loop_1","10",102898649,102918335,-1,"ENSG00000286575, ENSG00000148842, ENSG00000278498","CNNM2"
"2","loop_10","10",88819896,88851844,-1,"ENSG00000152766, ENSG00000234256, ENSG00000296045, ENSG00000138134, ENSG00000180139","ANKRD22, PTCD2P2,  STAMBPL1, ACTA2-AS1"
"3","loop_100","17",47224185,47230070,-1,"ENSG00000304881, ENSG00000259207, ENSG00000259753, ENSG00000302539, ENSG00000238419, ENSG00000263293","ITGB3, RNU7-186P, EFCAB13-DT"
"4","loop_1001","3",67360460,67654612,-1,"ENSG00000172340, ENSG00000242510, ENSG00000241316, ENSG00000298567, ENSG00000298488, ENSG00000307977, ENSG00000183662, ENSG00000309484, ENSG00000214552, ENSG00000240568, ENSG00000286967, ENSG00000244640, ENSG00000241506, ENSG00000163377","SUCLG2, NDUFB4P1, SUCLG2-DT,  TAFA1, COPS8P2, LCORLP1, RPLP0P8, PSMC1P1, TAFA4"
"5","loop_1004","15",25456131,25578823,-1,"ENSG00000235731, ENSG00000307541, ENSG00000223628, ENSG00000289522, ENSG00000206190, ENSG00000222123, ENSG00000266517, ENSG00000259011, ENSG00000206187, ENSG00000258965, ENSG00000306622, ENSG00000212604, ENSG00000306598, ENSG00000258931, ENSG00000301308, ENSG00000301324, ENSG00000259150, ENSG00000306807, ENSG00000301628, ENSG00000297422, ENSG00000297943, ENSG00000286884, ENSG00000235160, ENSG00000287280, ENSG00000166206, ENSG00000278840, ENSG00000235518, ENSG00000301673, ENSG00000301748, ENSG00000242793","LINC02250,  ATP10A, RNA5SP390, MIR4715, ATP10A-DT, LINC02346, LINC00929, LINC02248, GABRB3"
"6","loop_1005","9",107409965,107480573,1,"ENSG00000309014, ENSG00000226825, ENSG00000199905, ENSG00000136826, ENSG00000289987, ENSG00000308462, ENSG00000308445, ENSG00000236005, ENSG00000300342, ENSG00000227350, ENSG00000299632, ENSG00000301055, ENSG00000202308, ENSG00000299606, ENSG00000304985, ENSG00000294077, ENSG00000301201, ENSG00000301188, ENSG00000295650, ENSG00000222558, ENSG00000302194, ENSG00000244104, ENSG00000231293, ENSG00000233727, ENSG00000222459, ENSG00000303954, ENSG00000236783, ENSG00000303967, ENSG00000213557, ENSG00000303981, ENSG00000237360, ENSG00000230030, ENSG00000303422, ENSG00000303441, ENSG00000307437","LINC01509, RNU6-492P, KLF4, PPIAP88, RNU6-996P, RNU6-1064P, RN7SL659P, RPL36AP6, RNA5SP293, RPS15AP27, RPL31P43, CHCHD4P2"
"7","loop_1006","8",35235475,35796550,1,"ENSG00000156687, ENSG00000279099, ENSG00000298391, ENSG00000232024, ENSG00000286693, ENSG00000253452, ENSG00000253524, ENSG00000254309","UNC5D,  LSM12P1"
"8","loop_1007","7",27193503,27200091,-1,"ENSG00000106031, ENSG00000243766, ENSG00000276609, ENSG00000278708, ENSG00000277469, ENSG00000306079, ENSG00000277553, ENSG00000286323, ENSG00000308571, ENSG00000299743, ENSG00000299766, ENSG00000253308, ENSG00000253405, ENSG00000106038, ENSG00000213783, ENSG00000236569, ENSG00000224322, ENSG00000301703, ENSG00000279655, ENSG00000279429, ENSG00000299110, ENSG00000295557, ENSG00000233830, ENSG00000213781, ENSG00000293811, ENSG00000235574, ENSG00000106049, ENSG00000286478, ENSG00000309361, ENSG00000229893, ENSG00000106052, ENSG00000153814, ENSG00000287489","HOXA13, HOTTIP,  EVX1-AS, EVX1, RPL35P4, HNRNPA1P73, EIF4HP1, PSMC1P2, HIBADH, TAX1BP1-AS1, TAX1BP1, JAZF1"
"9","loop_1008","5",88675845,88779088,1,"ENSG00000245864, ENSG00000081189, ENSG00000248309, ENSG00000302617, ENSG00000302676, ENSG00000302798, ENSG00000302743, ENSG00000288740, ENSG00000250831, ENSG00000250437, ENSG00000301976, ENSG00000296543, ENSG00000214942, ENSG00000296522, ENSG00000264342, ENSG00000248555","MEF2C-AS2, MEF2C, MEF2C-AS1,  LINC02161, MIR3660, LINC01339"
"10","loop_1009","5",142770377,143229011,1,"ENSG00000145819, ENSG00000230789, ENSG00000299842, ENSG00000294576, ENSG00000294596, ENSG00000300303, ENSG00000113580, ENSG00000231579, ENSG00000279679","ARHGAP26, ARHGAP26-IT1,  NR3C1, RPL7P21"
"11","loop_1010","4",78938871,79309673,1,"ENSG00000249307, ENSG00000156269, ENSG00000309278, ENSG00000196475, ENSG00000250334, ENSG00000299953","LINC01088, NAA11,  GK2, LINC00989"
"12","loop_1011","3",36169767,36170448,-1,"ENSG00000236158, ENSG00000299470, ENSG00000303138, ENSG00000144681","RFC3P1,  STAC"
"13","loop_1012","3",137320373,137341797,-1,"ENSG00000295924, ENSG00000308098, ENSG00000201325, ENSG00000295978, ENSG00000243886, ENSG00000242070, ENSG00000168875, ENSG00000239513, ENSG00000300888, ENSG00000300836, ENSG00000261146, ENSG00000241478","RNA5SP142, MTCH2P1, NPM1P17, SOX14, LINC01210, HSPA8P9"
"14","loop_1013","18",29746714,29921827,-1,"ENSG00000304402, ENSG00000295284, ENSG00000295305, ENSG00000286605, ENSG00000283218, ENSG00000305381, ENSG00000266196, ENSG00000279734","MIR302F"
"15","loop_1014","15",35081144,35081513,1,"ENSG00000259665, ENSG00000255192, ENSG00000259397, ENSG00000259336, ENSG00000259592, ENSG00000293367, ENSG00000134146, ENSG00000259516, ENSG00000259710, ENSG00000259585, ENSG00000265102, ENSG00000259688, ENSG00000259411","NANOGP8, PRELID1P4, DPH6, ANP32AP1, NUTF2P6, RBM17P4, MIR3942, HNRNPA1P45"
"16","loop_1015","6",106358566,106359717,-1,"ENSG00000233941, ENSG00000112297, ENSG00000207499, ENSG00000202386, ENSG00000282408, ENSG00000200314, ENSG00000300544, ENSG00000298671, ENSG00000130347, ENSG00000200295, ENSG00000130348, ENSG00000216977, ENSG00000229654, ENSG00000289020, ENSG00000235142, ENSG00000202285, ENSG00000207577, ENSG00000309909, ENSG00000309932, ENSG00000299360, ENSG00000300574, ENSG00000272398","CRYBG1, RNA5SP211, RTN4IP1, RNU6-527P, QRSL1, RPL21P65, LINC02526, LINC02532, RNU6-117P, MIR587, CD24"
"17","loop_1017","5",151822513,151924851,-1,"ENSG00000145888, ENSG00000270978, ENSG00000302741, ENSG00000222308, ENSG00000293808, ENSG00000293830, ENSG00000254226, ENSG00000301093, ENSG00000300486, ENSG00000286749, ENSG00000132911, ENSG00000242080","GLRA1,  RNA5SP198, LINC01933, NMUR2, RPL36AP20"
"18","loop_1018","4",128061286,128222931,1,"ENSG00000138709, ENSG00000164040, ENSG00000251432, ENSG00000273077, ENSG00000248187, ENSG00000248802, ENSG00000302316, ENSG00000301474, ENSG00000296308, ENSG00000289243, ENSG00000308316, ENSG00000280711, ENSG00000077684","LARP1B, PGRMC2, LINC02615,  JADRR, JADE1"
"19","loop_1019","17",52862065,53105367,1,"ENSG00000226364, ENSG00000262902, ENSG00000285939, ENSG00000263252, ENSG00000262271, ENSG00000262518, ENSG00000262384, ENSG00000299234, ENSG00000233380, ENSG00000141200, ENSG00000295913, ENSG00000263189, ENSG00000309612, ENSG00000302429, ENSG00000293980, ENSG00000300841, ENSG00000261965, ENSG00000288036, ENSG00000305517, ENSG00000263199, ENSG00000263125, ENSG00000251809","LINC02089, MTCO1P40,  RPS2P48, KIF2B, ISCA1P3, ARL2BPP8, RN7SKP14"
"20","loop_102","17",50781136,50828118,1,"ENSG00000285829, ENSG00000290053, ENSG00000248702, ENSG00000173714, ENSG00000261976","WFIKKN2"
"21","loop_1020","16",72236281,72665083,-1,"ENSG00000261008, ENSG00000260664, ENSG00000259768, ENSG00000238731, ENSG00000261764, ENSG00000279206, ENSG00000140836, ENSG00000251868, ENSG00000279757, ENSG00000280092, ENSG00000272330, ENSG00000279591, ENSG00000271009, ENSG00000260880, ENSG00000284675, ENSG00000296150","LINC01572,  ZFHX3-AS1, RNU7-90P, KRT18P18, ZFHX3, RNU7-71P, HCCAT5"
"22","loop_1021","10",81875194,82987179,1,"ENSG00000185737, ENSG00000288918, ENSG00000200774, ENSG00000303943, ENSG00000234931","NRG3,  RNU6-478P, MARK2P15"
"23","loop_1022","5",132190147,132295315,-1,"ENSG00000072682, ENSG00000131435, ENSG00000197208, ENSG00000233006, ENSG00000263597, ENSG00000197375, ENSG00000197536, ENSG00000283782, ENSG00000238160, ENSG00000298170, ENSG00000125347, ENSG00000202533","P4HA2, PDLIM4, SLC22A4, MIR3936HG, MIR3936, SLC22A5, CARINH,  LINC02863, IRF1"
"24","loop_1024","2",219940680,220870826,1,"ENSG00000288902, ENSG00000308081, ENSG00000286272, ENSG00000232089, ENSG00000290000, ENSG00000286170, ENSG00000116106, ENSG00000226726, ENSG00000272944","EPHA4, TMEM256P2"
"25","loop_1026","X",7928443,8444335,1,"ENSG00000285679, ENSG00000207628, ENSG00000177504, ENSG00000297223, ENSG00000205642, ENSG00000287171, ENSG00000011201","MIR651, VCX2, VCX3B, LINC03113, ANOS1"
"26","loop_1027","13",110878540,110915069,-1,"ENSG00000088448, ENSG00000301617, ENSG00000277767, ENSG00000227105, ENSG00000290807, ENSG00000302275, ENSG00000275989, ENSG00000290808, ENSG00000225760, ENSG00000296735, ENSG00000298786, ENSG00000225870, ENSG00000235875, ENSG00000102606, ENSG00000233644, ENSG00000227352, ENSG00000285856, ENSG00000274614","ANKRD10,  PARP1P1, SPACA7BP, LINC00431, LINC00368, ARHGEF7-AS2, ARHGEF7, ARHGEF7-IT1, ARHGEF7-AS1"
"27","loop_1028","10",95111692,95231144,-1,"ENSG00000234026, ENSG00000274691, ENSG00000225533, ENSG00000173124, ENSG00000107438, ENSG00000302434, ENSG00000302444, ENSG00000095637, ENSG00000214362","PAWRP1, ACSM6, PDLIM1, SORBS1, RPS3AP36"
"28","loop_1029","1",13657975,13671408,1,"ENSG00000295237, ENSG00000253085, ENSG00000116731, ENSG00000289380, ENSG00000304226, ENSG00000189337","PRDM2, KAZN"
"29","loop_103","17",52862065,53105367,1,"ENSG00000226364, ENSG00000262902, ENSG00000285939, ENSG00000263252, ENSG00000262271, ENSG00000262518, ENSG00000262384, ENSG00000299234, ENSG00000233380, ENSG00000141200, ENSG00000295913, ENSG00000263189, ENSG00000309612","LINC02089, MTCO1P40,  RPS2P48, KIF2B"
"30","loop_1031","21",20998409,21543329,1,"ENSG00000154654, ENSG00000226771, ENSG00000234730, ENSG00000237527, ENSG00000303723, ENSG00000238265, ENSG00000233997, ENSG00000305043, ENSG00000301453","NCAM2,  LINC00317, LINC01425"
"31","loop_1032","15",52755053,52791078,-1,"ENSG00000169856, ENSG00000301738, ENSG00000301771, ENSG00000259203, ENSG00000259237, ENSG00000214896, ENSG00000259612, ENSG00000301720","ONECUT1,  LINC02490, RPSAP55, EEF1A1P22"
"32","loop_1033","9",131009174,131094473,1,"ENSG00000050555, ENSG00000126878, ENSG00000126883, ENSG00000252622, ENSG00000236986, ENSG00000246851, ENSG00000288727, ENSG00000226987, ENSG00000309344, ENSG00000126882, ENSG00000294653, ENSG00000286547, ENSG00000160539","LAMC3, AIF1L, NUP214, RNU6-881P,  FAM78A, PLPP7"
"33","loop_1034","7",49230137,49254816,1,"ENSG00000234686, ENSG00000270763, ENSG00000286995, ENSG00000303818, ENSG00000279104, ENSG00000188730, ENSG00000042813","DDX43P2, VWC2, ZPBP"
"34","loop_1035","5",87412342,87499340,1,"ENSG00000285190, ENSG00000249362, ENSG00000248708, ENSG00000287783, ENSG00000287862, ENSG00000306169, ENSG00000306150, ENSG00000289462, ENSG00000164180, ENSG00000247828, ENSG00000207129, ENSG00000240083, ENSG00000206958, ENSG00000250306, ENSG00000245526, ENSG00000302817, ENSG00000250705, ENSG00000302771, ENSG00000284447, ENSG00000245864, ENSG00000302841","LINC02488, LINC02144, TMEM161B, TMEM161B-DT, RNA5SP187, RPS3AP22, MIR9-2HG, H3P23, MIR9-2, MEF2C-AS2"
"35","loop_1036","3",153067278,153067551,1,"ENSG00000241810, ENSG00000241671, ENSG00000288787, ENSG00000298712, ENSG00000289885, ENSG00000181467, ENSG00000265813, ENSG00000290079, ENSG00000298731, ENSG00000241220, ENSG00000238755, ENSG00000237787, ENSG00000207323, ENSG00000298648","HMGN2P13, KIAA1328P1,  RAP2B, RN7SL300P, LINC03109, LINC02006, LINC02877, RNU6-901P"
"36","loop_1037","2",136765545,137677718,1,"ENSG00000144229, ENSG00000310162, ENSG00000212425, ENSG00000222394","THSD7B,  RNA5SP105"
